Action,Date,Number of Stocks,Price per Stock,Cash Flow
BUY,2019-08-27 00:00:00,192.87,49.28,-9504.52
HOLD for 5 days,,,,
SELL,2019-09-05 00:00:00,-192.87,51.48,9929.09
STAY for 12 days,,,,
BUY,2019-09-24 00:00:00,188.97,52.54,-9929.09
HOLD for 8 days,,,,
SELL,2019-10-07 00:00:00,-188.97,54.81,10356.94
STAY for 31 days,,,,
BUY,2019-11-20 00:00:00,162.54,63.72,-10356.94
HOLD for 16 days,,,,
SELL,2019-12-16 00:00:00,-162.54,67.76,11012.93
STAY for 25 days,,,,
BUY,2020-01-24 00:00:00,142.91,77.06,-11012.93
HOLD for 20 days,,,,
SELL,2020-02-25 00:00:00,-142.91,69.91,9990.68
BUY,2020-02-26 00:00:00,140.67,71.02,-9990.68
SELL,2020-02-27 00:00:00,-140.67,66.38,9337.61
STAY for 1 days,,,,
BUY,2020-03-02 00:00:00,128.77,72.51,-9337.61
HOLD for 18 days,,,,
SELL,2020-03-27 00:00:00,-128.77,60.12,7741.71
STAY for 40 days,,,,
BUY,2020-05-27 00:00:00,100.01,77.41,-7741.71
HOLD for 7 days,,,,
SELL,2020-06-08 00:00:00,-100.01,81.14,8115.28
STAY for 14 days,,,,
BUY,2020-06-29 00:00:00,92.18,88.03,-8115.28
HOLD for 5 days,,,,
SELL,2020-07-08 00:00:00,-92.18,92.8,8554.71
STAY for 6 days,,,,
BUY,2020-07-17 00:00:00,91.24,93.76,-8554.71
SELL,2020-07-20 00:00:00,-91.24,95.74,8734.99
BUY,2020-07-21 00:00:00,92.52,94.41,-8734.99
HOLD for 7 days,,,,
SELL,2020-07-31 00:00:00,-92.52,103.43,9568.87
STAY for 23 days,,,,
BUY,2020-09-03 00:00:00,81.18,117.87,-9568.87
HOLD for 11 days,,,,
SELL,2020-09-22 00:00:00,-81.18,109.03,8850.89
STAY for 1 days,,,,
BUY,2020-09-24 00:00:00,83.87,105.53,-8850.89
HOLD for 4 days,,,,
SELL,2020-10-01 00:00:00,-83.87,113.88,9551.79
STAY for 13 days,,,,
BUY,2020-10-21 00:00:00,83.82,113.96,-9551.79
HOLD for 6 days,,,,
SELL,2020-10-30 00:00:00,-83.82,106.15,8897.13
STAY for 1 days,,,,
BUY,2020-11-03 00:00:00,82.62,107.69,-8897.13
HOLD for 2 days,,,,
SELL,2020-11-06 00:00:00,-82.62,115.93,9578.26
STAY for 10 days,,,,
BUY,2020-11-23 00:00:00,86.13,111.21,-9578.26
HOLD for 4 days,,,,
SELL,2020-12-01 00:00:00,-86.13,119.87,10324.5
STAY for 22 days,,,,
BUY,2021-01-05 00:00:00,80.68,127.97,-10324.5
HOLD for 11 days,,,,
SELL,2021-01-22 00:00:00,-80.68,135.84,10959.68
STAY for 5 days,,,,
BUY,2021-02-01 00:00:00,83.65,131.03,-10959.68
HOLD for 9 days,,,,
SELL,2021-02-16 00:00:00,-83.65,130.29,10898.32
STAY for 1 days,,,,
BUY,2021-02-18 00:00:00,85.89,126.89,-10898.32
HOLD for 1 days,,,,
SELL,2021-02-22 00:00:00,-85.89,123.26,10586.61
STAY for 4 days,,,,
BUY,2021-03-01 00:00:00,84.69,125.01,-10586.61
SELL,2021-03-02 00:00:00,-84.69,122.4,10365.42
STAY for 4 days,,,,
BUY,2021-03-09 00:00:00,87.5,118.46,-10365.42
HOLD for 3 days,,,,
SELL,2021-03-15 00:00:00,-87.5,121.29,10613.66
STAY for 31 days,,,,
BUY,2021-04-29 00:00:00,81.28,130.58,-10613.66
HOLD for 8 days,,,,
SELL,2021-05-12 00:00:00,-81.28,120.3,9778.64
STAY for 1 days,,,,
BUY,2021-05-14 00:00:00,78.3,124.89,-9778.64
HOLD for 14 days,,,,
SELL,2021-06-07 00:00:00,-78.3,123.37,9659.71
STAY for 30 days,,,,
BUY,2021-07-21 00:00:00,67.8,142.48,-9659.71
HOLD for 18 days,,,,
SELL,2021-08-17 00:00:00,-67.8,147.39,9992.89
BUY,2021-08-18 00:00:00,69.57,143.63,-9992.89
HOLD for 8 days,,,,
SELL,2021-08-31 00:00:00,-69.57,149.0,10366.36
STAY for 6 days,,,,
BUY,2021-09-10 00:00:00,70.91,146.19,-10366.36
HOLD for 5 days,,,,
SELL,2021-09-20 00:00:00,-70.91,140.28,9946.75
BUY,2021-09-21 00:00:00,70.67,140.76,-9946.75
HOLD for 3 days,,,,
SELL,2021-09-27 00:00:00,-70.67,142.66,10081.28
STAY for 2 days,,,,
BUY,2021-09-30 00:00:00,72.6,138.86,-10081.28
HOLD for 9 days,,,,
SELL,2021-10-14 00:00:00,-72.6,141.08,10242.3
STAY for 18 days,,,,
