Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
sma,ADBE,,,,-1.44,-0.14,-0.17,-0.04,-34.65,0.1948,16.67,6,-0.0054,Open Strategy Plot,Open Portfolio Plot
sma_rsi,ADBE,,,,2.96,0.1,0.14,0.09,-34.75,0.2249,33.33,6,0.0056,Open Strategy Plot,Open Portfolio Plot
vol_adjusted_momentum,ADBE,,,,-1.44,-0.14,-0.17,-0.04,-34.65,0.1948,16.67,6,-0.0054,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,1,FS_1,-3.1,-0.05,-0.06,-0.06,-50.67,0.3073,28.99,138,-0.0049,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,2,FS_2,-4.03,-0.09,-0.12,-0.08,-53.49,0.2996,27.69,130,-0.0087,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,3,FS_3,-7.73,-0.21,-0.26,-0.14,-57.09,0.3072,29.37,126,-0.0225,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,4,FS_4,-11.24,-0.34,-0.43,-0.22,-50.47,0.3058,28.95,114,-0.0361,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,5,FS_5,-7.65,-0.33,-0.42,-0.19,-39.55,0.2448,24.29,140,-0.0196,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,6,FS_6,-7.26,-0.24,-0.3,-0.13,-55.14,0.2811,23.17,82,-0.0191,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,7,FS_7,-8.41,-0.17,-0.2,-0.13,-62.79,0.3503,17.86,28,-0.0645,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,8,FS_8,-15.49,-0.45,-0.54,-0.26,-59.19,0.327,28.12,32,-0.0667,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,9,FS_9,-7.35,-0.39,-0.47,-0.19,-39.23,0.2177,28.26,138,-0.0186,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,10,FS_10,-2.34,-0.04,-0.05,-0.06,-39.62,0.298,22.58,186,-0.0031,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,11,FS_11,-4.39,-0.12,-0.15,-0.08,-52.89,0.2911,26.6,188,-0.01,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,12,FS_12,-11.38,-0.28,-0.34,-0.19,-59.97,0.3399,33.33,6,-0.058,Open Strategy Plot,Open Portfolio Plot
xgboost,ADBE,xgb,13,FS_13,-14.61,-0.42,-0.51,-0.25,-59.04,0.3259,22,50,-0.0609,Open Strategy Plot,Open Portfolio Plot
