Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
vol_adjusted_momentum,AMD,,,,18.37,0.56,0.84,0.47,-39.13,0.3552,50,6,-0.0215,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,1,FS_1,4.58,0.21,0.32,0.09,-48.25,0.3555,24.83,294,-0.042,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,2,FS_2,-6.27,-0.11,-0.15,-0.09,-70.11,0.3446,25.15,334,-0.0589,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,3,FS_3,8.46,0.32,0.5,0.2,-42.16,0.3908,24.09,274,-0.0374,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,4,FS_4,-9.48,-0.17,-0.24,-0.14,-68.62,0.3682,22.75,334,-0.0669,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,5,FS_5,10.23,0.38,0.56,0.16,-63.39,0.495,34,50,-0.0533,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,6,FS_6,0.45,0.17,0.24,0.01,-64.03,0.4583,24.19,62,-0.0633,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,7,FS_7,0.59,0.18,0.25,0.01,-64.37,0.4667,25.45,110,-0.0658,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,8,FS_8,9.44,0.35,0.5,0.16,-59.71,0.4431,27.42,124,-0.0395,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,9,FS_9,7.07,0.27,0.4,0.2,-34.66,0.261,28.87,142,-0.0362,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,10,FS_10,10.16,0.37,0.55,0.16,-64.9,0.4631,27.48,222,-0.0411,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,11,FS_11,-9.61,-0.22,-0.32,-0.15,-65.05,0.3412,24.7,328,-0.0646,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,12,FS_12,-10.73,-0.09,-0.13,-0.14,-74.4,0.4603,28.57,98,-0.0939,Open Strategy Plot,Open Portfolio Plot
xgboost,AMD,xgb,13,FS_13,1.84,0.19,0.27,0.03,-57.54,0.4458,26.76,142,-0.0565,Open Strategy Plot,Open Portfolio Plot
