Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
sma_rsi,AAPL,,,,-2.95,-0.18,-0.24,-0.08,-35.39,0.2164,25,8,-0.0795,Open Strategy Plot,Open Portfolio Plot
vol_adjusted_momentum,AAPL,,,,-2.67,-0.21,-0.27,-0.08,-34.27,0.1917,20,10,-0.0702,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,1,FS_1,14.37,0.63,0.98,0.8,-17.93,0.1904,28.36,268,-0.0211,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,2,FS_2,-6.29,-0.42,-0.59,-0.13,-48.46,0.1904,23.46,260,-0.0814,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,3,FS_3,7.22,0.29,0.44,0.33,-21.65,0.1871,25.25,202,-0.0403,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,4,FS_4,-3.01,-0.23,-0.32,-0.11,-27.29,0.1914,22.06,272,-0.0712,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,5,FS_5,2.91,-0.01,-0.01,0.58,-5.06,0.0795,36.36,22,-0.0443,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,6,FS_6,-1.43,-0.85,-1.13,-0.09,-15.24,0.0531,20,60,-0.0535,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,7,FS_7,17.22,0.61,0.86,0.51,-33.45,0.2685,27.27,66,-0.0194,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,8,FS_8,9.52,0.39,0.55,0.24,-39.08,0.2072,25.51,98,-0.036,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,9,FS_9,-4.12,-0.28,-0.39,-0.12,-33.97,0.1963,23.36,274,-0.0761,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,10,FS_10,20.17,0.69,1,0.6,-33.36,0.2743,25,20,-0.0007,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,11,FS_11,17.1,0.65,0.9,0.51,-33.41,0.2406,29.59,294,-0.0151,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,12,FS_12,5.79,0.25,0.38,0.25,-22.99,0.1311,30.68,88,-0.0397,Open Strategy Plot,Open Portfolio Plot
xgboost,AAPL,xgb,13,FS_13,12.7,0.54,0.8,0.44,-29,0.1969,28.3,212,-0.0259,Open Strategy Plot,Open Portfolio Plot
