Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
random_forest,ADBE,rf,8,FS_8,0.4873,0.4872,0.4873,0.4869,"31    11    67
31    32    12
40    41    129"
xgboost,ADBE,xgb,8,FS_8,0.5102,0.5054,0.5102,0.5062,"31    15    63
25    34    16
33    41    136"
logistic_regression,TSLA,lr,8,FS_8,0.2217,0.5188,0.2217,0.2734,"23    74    30
4    15    0
58    171    58"
random_forest,TSLA,rf,8,FS_8,0.3782,0.503,0.3782,0.3782,"67    0    38
10    0    9
188    0    82"
xgboost,TSLA,xgb,8,FS_8,0.3858,0.5091,0.3858,0.3829,"70    0    35
8    0    11
188    0    82"
logistic_regression,AMD,lr,8,FS_8,0.4965,0.4862,0.4965,0.4894,"52    5    89
20    3    11
86    7    160"
random_forest,AMD,rf,8,FS_8,0.4695,0.4883,0.4695,0.4706,"68    5    63
19    2    9
105    8    115"
xgboost,AMD,xgb,8,FS_8,0.4695,0.4846,0.4695,0.4693,"69    3    64
17    2    11
104    10    114"
logistic_regression,NVDA,lr,8,FS_8,0.4619,0.5866,0.4619,0.454,"10    59    67
0    22    16
8    83    168"
random_forest,NVDA,rf,8,FS_8,0.4264,0.4998,0.4264,0.4231,"72    5    36
21    1    15
146    3    95"
xgboost,NVDA,xgb,8,FS_8,0.4239,0.5211,0.4239,0.4267,"73    8    32
17    6    14
149    7    88"
logistic_regression,QQQ,lr,8,FS_8,0.4042,0.4771,0.4042,0.4123,"50    12    39
49    81    14
118    26    44"
random_forest,QQQ,rf,8,FS_8,0.3959,0.4845,0.3959,0.4011,"52    13    21
57    54    18
94    35    50"
xgboost,QQQ,xgb,8,FS_8,0.4061,0.5107,0.4061,0.4158,"53    11    22
60    54    15
97    29    53"
logistic_regression,MSFT,lr,9,FS_9,0.4457,0.4474,0.4457,0.4458,"41    20    53
11    57    44
63    49    95"
random_forest,MSFT,rf,9,FS_9,0.3163,0.3748,0.3163,0.3118,"49    54    11
34    44    34
99    62    43"
xgboost,MSFT,xgb,9,FS_9,0.3488,0.3828,0.3488,0.3499,"52    44    18
27    39    46
91    54    59"
logistic_regression,AAPL,lr,9,FS_9,0.3926,0.5214,0.3926,0.3908,"18    44    44
1    62    10
20    144    90"
random_forest,AAPL,rf,9,FS_9,0.3209,0.4974,0.3209,0.3052,"67    0    39
51    3    19
182    1    68"
xgboost,AAPL,xgb,9,FS_9,0.3419,0.3826,0.3419,0.3312,"57    1    48
52    0    21
160    1    90"
logistic_regression,GOOG,lr,9,FS_9,0.3626,0.4024,0.3626,0.3689,"49    22    49
49    43    18
95    43    65"
random_forest,GOOG,rf,9,FS_9,0.3791,0.4817,0.3791,0.3301,"96    1    23
94    2    14
133    2    65"
xgboost,GOOG,xgb,9,FS_9,0.3372,0.4562,0.3372,0.2932,"92    5    23
93    6    11
150    3    47"
logistic_regression,META,lr,9,FS_9,0.3164,0.4727,0.3164,0.3058,"32    85    19
12    59    4
67    109    46"
random_forest,META,rf,9,FS_9,0.4512,0.4015,0.4512,0.417,"33    12    91
27    5    42
40    24    156"
xgboost,META,xgb,9,FS_9,0.4395,0.4026,0.4395,0.4165,"43    12    81
23    5    46
55    24    141"
logistic_regression,ORCL,lr,9,FS_9,0.3811,0.3937,0.3811,0.348,"31    71    15
43    114    9
69    61    20"
random_forest,ORCL,rf,9,FS_9,0.4372,0.4109,0.4372,0.4114,"14    73    30
15    96    52
22    50    78"
xgboost,ORCL,xgb,9,FS_9,0.4163,0.3575,0.4163,0.3652,"3    83    31
7    104    52
10    68    72"
logistic_regression,ADBE,lr,9,FS_9,0.4988,0.4763,0.4988,0.4827,"31    10    83
19    27    33
42    30    158"
random_forest,ADBE,rf,9,FS_9,0.3744,0.5423,0.3744,0.3399,"99    12    13
53    21    4
172    15    41"
xgboost,ADBE,xgb,9,FS_9,0.3581,0.5129,0.3581,0.304,"106    3    15
66    5    7
181    4    43"
logistic_regression,TSLA,lr,9,FS_9,0.3349,0.5607,0.3349,0.3861,"53    36    38
4    12    3
73    134    80"
random_forest,TSLA,rf,9,FS_9,0.3488,0.4978,0.3488,0.3378,"82    7    37
12    5    2
211    11    63"
xgboost,TSLA,xgb,9,FS_9,0.3302,0.4818,0.3302,0.3232,"78    15    33
9    3    7
207    17    61"
logistic_regression,AMD,lr,9,FS_9,0.3857,0.4254,0.3857,0.3466,"107    0    39
21    0    13
193    0    60"
random_forest,AMD,rf,9,FS_9,0.4442,0.552,0.4442,0.4072,"122    0    24
26    1    5
180    4    68"
xgboost,AMD,xgb,9,FS_9,0.4,0.642,0.4,0.3085,"140    2    4
29    2    1
217    5    30"
logistic_regression,NVDA,lr,9,FS_9,0.4296,0.467,0.4296,0.4165,"86    0    50
25    0    13
159    0    100"
random_forest,NVDA,rf,9,FS_9,0.414,0.4647,0.414,0.4076,"79    5    51
19    1    17
160    0    98"
xgboost,NVDA,xgb,9,FS_9,0.4163,0.4993,0.4163,0.42,"80    10    45
19    8    10
161    6    91"
logistic_regression,QQQ,lr,9,FS_9,0.3649,0.4373,0.3649,0.3893,"27    22    52
57    69    18
102    24    62"
random_forest,QQQ,rf,9,FS_9,0.3326,0.478,0.3326,0.3027,"69    23    9
88    52    3
114    50    22"
xgboost,QQQ,xgb,9,FS_9,0.293,0.3632,0.293,0.2464,"75    21    5
93    35    15
120    50    16"
logistic_regression,MSFT,lr,10,FS_10,0.4226,0.4529,0.4226,0.4275,"44    36    34
26    57    29
72    53    82"
random_forest,MSFT,rf,10,FS_10,0.4465,0.4493,0.4465,0.4434,"30    42    42
9    57    46
46    53    105"
xgboost,MSFT,xgb,10,FS_10,0.3907,0.3959,0.3907,0.3739,"11    63    40
6    60    46
26    81    97"
logistic_regression,AAPL,lr,10,FS_10,0.455,0.5237,0.455,0.4285,"4    41    61
1    51    21
4    108    142"
random_forest,AAPL,rf,10,FS_10,0.3442,0.4396,0.3442,0.3412,"39    28    39
17    47    9
97    92    62"
xgboost,AAPL,xgb,10,FS_10,0.3488,0.4386,0.3488,0.3532,"43    29    34
14    39    20
90    93    68"
logistic_regression,GOOG,lr,10,FS_10,0.4411,0.4481,0.4411,0.4423,"44    19    57
40    36    34
61    31    111"
random_forest,GOOG,rf,10,FS_10,0.3698,0.3598,0.3698,0.3574,"50    23    47
30    14    66
85    20    95"
xgboost,GOOG,xgb,10,FS_10,0.3791,0.3752,0.3791,0.3723,"48    25    47
31    19    60
79    25    96"
logistic_regression,META,lr,10,FS_10,0.4319,0.4859,0.4319,0.4333,"28    64    44
5    49    21
42    70    110"
random_forest,META,rf,10,FS_10,0.414,0.4514,0.414,0.4199,"66    26    44
27    25    22
108    25    87"
xgboost,META,xgb,10,FS_10,0.4349,0.4518,0.4349,0.4413,"53    28    55
27    22    25
79    29    112"
logistic_regression,ORCL,lr,10,FS_10,0.4226,0.45,0.4226,0.414,"27    26    64
34    59    73
42    11    97"
random_forest,ORCL,rf,10,FS_10,0.3535,0.3675,0.3535,0.3505,"49    27    41
72    40    51
52    35    63"
xgboost,ORCL,xgb,10,FS_10,0.3302,0.3499,0.3302,0.3194,"62    27    28
96    29    38
65    34    51"
logistic_regression,ADBE,lr,10,FS_10,0.5219,0.525,0.5219,0.5159,"36    20    68
13    45    21
33    52    145"
random_forest,ADBE,rf,10,FS_10,0.486,0.4533,0.486,0.4483,"14    20    90
15    29    34
13    49    166"
xgboost,ADBE,xgb,10,FS_10,0.5047,0.4556,0.5047,0.4613,"15    21    88
17    24    37
17    33    178"
logistic_regression,TSLA,lr,10,FS_10,0.3118,0.4514,0.3118,0.3458,"53    16    58
14    0    5
136    69    82"
random_forest,TSLA,rf,10,FS_10,0.5767,0.5165,0.5767,0.5414,"24    1    101
6    0    13
61    0    224"
xgboost,TSLA,xgb,10,FS_10,0.5163,0.5238,0.5163,0.5199,"31    10    85
11    1    7
78    17    190"
logistic_regression,AMD,lr,10,FS_10,0.4665,0.4638,0.4665,0.4649,"45    9    92
12    5    17
77    24    152"
random_forest,AMD,rf,10,FS_10,0.5023,0.5246,0.5023,0.5104,"73    15    58
7    4    21
93    20    139"
xgboost,AMD,xgb,10,FS_10,0.5302,0.5161,0.5302,0.521,"49    13    84
6    5    21
65    13    174"
logistic_regression,NVDA,lr,10,FS_10,0.418,0.4896,0.418,0.4359,"25    44    67
4    19    15
47    75    137"
random_forest,NVDA,rf,10,FS_10,0.5233,0.5389,0.5233,0.5138,"30    17    88
8    10    19
26    47    185"
xgboost,NVDA,xgb,10,FS_10,0.507,0.5283,0.507,0.5064,"29    31    75
8    11    18
37    43    178"
logistic_regression,QQQ,lr,10,FS_10,0.4665,0.4972,0.4665,0.4711,"33    24    44
35    98    11
75    42    71"
random_forest,QQQ,rf,10,FS_10,0.4651,0.4575,0.4651,0.45,"22    36    43
15    105    23
48    65    73"
xgboost,QQQ,xgb,10,FS_10,0.4442,0.4608,0.4442,0.4266,"35    29    37
24    110    9
83    57    46"
logistic_regression,MSFT,lr,11,FS_11,0.4342,0.4116,0.4342,0.416,"16    29    69
8    58    46
38    55    114"
random_forest,MSFT,rf,11,FS_11,0.4233,0.481,0.4233,0.4276,"66    24    24
50    40    22
87    41    76"
xgboost,MSFT,xgb,11,FS_11,0.3233,0.4525,0.3233,0.3018,"73    31    10
72    32    8
104    66    34"
logistic_regression,AAPL,lr,11,FS_11,0.4134,0.4152,0.4134,0.3785,"0    50    56
0    62    11
1    136    117"
random_forest,AAPL,rf,11,FS_11,0.4419,0.4581,0.4419,0.4444,"44    7    55
24    12    37
88    29    134"
xgboost,AAPL,xgb,11,FS_11,0.4419,0.4534,0.4419,0.4291,"45    2    59
28    4    41
102    8    141"
logistic_regression,GOOG,lr,11,FS_11,0.4411,0.4503,0.4411,0.445,"40    27    53
39    44    27
53    43    107"
random_forest,GOOG,rf,11,FS_11,0.3279,0.3819,0.3279,0.2761,"93    6    21
97    2    11
145    9    46"
xgboost,GOOG,xgb,11,FS_11,0.3535,0.4761,0.3535,0.2966,"105    5    10
98    6    6
143    16    41"
logistic_regression,META,lr,11,FS_11,0.3025,0.5859,0.3025,0.2623,"2    119    15
0    73    2
2    164    56"
random_forest,META,rf,11,FS_11,0.3419,0.4322,0.3419,0.2921,"104    17    15
54    12    8
158    31    31"
xgboost,META,xgb,11,FS_11,0.4023,0.4948,0.4023,0.3716,"107    8    21
58    9    7
143    20    57"
logistic_regression,ORCL,lr,11,FS_11,0.4203,0.439,0.4203,0.4211,"48    42    27
55    87    24
59    44    47"
random_forest,ORCL,rf,11,FS_11,0.3698,0.381,0.3698,0.3579,"55    23    39
75    32    56
51    27    72"
xgboost,ORCL,xgb,11,FS_11,0.3349,0.4473,0.3349,0.2482,"110    1    6
139    7    17
116    7    27"
logistic_regression,ADBE,lr,11,FS_11,0.5219,0.499,0.5219,0.4844,"17    13    94
1    44    34
23    42    165"
random_forest,ADBE,rf,11,FS_11,0.4465,0.4402,0.4465,0.4405,"31    12    81
39    18    21
64    21    143"
xgboost,ADBE,xgb,11,FS_11,0.4395,0.4848,0.4395,0.4269,"74    4    46
61    4    13
111    6    111"
logistic_regression,TSLA,lr,11,FS_11,0.2933,0.6462,0.2933,0.2224,"104    19    4
15    4    0
196    72    19"
random_forest,TSLA,rf,11,FS_11,0.4233,0.4743,0.4233,0.4406,"41    5    80
13    0    6
138    6    141"
xgboost,TSLA,xgb,11,FS_11,0.4907,0.513,0.4907,0.4976,"47    1    78
11    0    8
118    3    164"
logistic_regression,AMD,lr,11,FS_11,0.5797,0.3403,0.5797,0.4288,"0    0    146
0    0    34
2    0    251"
random_forest,AMD,rf,11,FS_11,0.5256,0.5006,0.5256,0.5076,"54    2    90
15    1    16
79    2    171"
xgboost,AMD,xgb,11,FS_11,0.4233,0.5032,0.4233,0.3974,"109    1    36
22    2    8
177    4    71"
logistic_regression,NVDA,lr,11,FS_11,0.5404,0.4844,0.5404,0.5104,"46    0    90
18    0    20
71    0    188"
random_forest,NVDA,rf,11,FS_11,0.393,0.4654,0.393,0.376,"91    3    41
29    0    8
175    5    78"
xgboost,NVDA,xgb,11,FS_11,0.3698,0.4719,0.3698,0.3412,"99    7    29
28    1    8
188    11    59"
logistic_regression,QQQ,lr,11,FS_11,0.3649,0.4733,0.3649,0.3921,"39    13    49
77    53    14
104    18    66"
random_forest,QQQ,rf,11,FS_11,0.3651,0.4688,0.3651,0.3721,"59    18    24
89    43    11
95    36    55"
xgboost,QQQ,xgb,11,FS_11,0.3349,0.4984,0.3349,0.3158,"73    17    11
100    40    3
118    37    31"
logistic_regression,MSFT,lr,12,FS_12,0.3834,0.4205,0.3834,0.3779,"28    50    36
18    69    25
42    96    69"
random_forest,MSFT,rf,12,FS_12,0.4112,0.4453,0.4112,0.3809,"86    3    12
39    24    41
108    29    52"
xgboost,MSFT,xgb,12,FS_12,0.3832,0.4147,0.3832,0.3504,"80    4    17
52    12    40
109    21    59"
logistic_regression,AAPL,lr,12,FS_12,0.3164,0.4679,0.3164,0.2922,"36    48    22
7    60    6
68    145    41"
random_forest,AAPL,rf,12,FS_12,0.2843,0.4064,0.2843,0.2379,"70    1    15
47    1    23
194    2    41"
xgboost,AAPL,xgb,12,FS_12,0.3071,0.4374,0.3071,0.2686,"70    1    15
47    1    23
185    2    50"
logistic_regression,GOOG,lr,12,FS_12,0.3995,0.4059,0.3995,0.4015,"31    31    58
29    49    32
62    48    93"
random_forest,GOOG,rf,12,FS_12,0.3731,0.3254,0.3731,0.3156,"78    2    19
63    0    44
117    2    69"
xgboost,GOOG,xgb,12,FS_12,0.3756,0.4327,0.3756,0.3432,"77    4    18
57    11    39
116    12    60"
logistic_regression,META,lr,12,FS_12,0.4596,0.4693,0.4596,0.4539,"33    33    70
11    32    32
35    53    134"
random_forest,META,rf,12,FS_12,0.3959,0.4341,0.3959,0.3932,"50    6    64
32    9    26
106    4    97"
xgboost,META,xgb,12,FS_12,0.4162,0.4127,0.4162,0.4041,"52    8    60
30    5    32
91    9    107"
logistic_regression,ORCL,lr,12,FS_12,0.4365,0.3996,0.4365,0.404,"10    47    60
21    82    63
16    37    97"
random_forest,ORCL,rf,12,FS_12,0.2792,0.3479,0.2792,0.2734,"52    33    19
94    32    20
102    16    26"
xgboost,ORCL,xgb,12,FS_12,0.3046,0.3736,0.3046,0.2923,"58    32    14
95    38    13
88    32    24"
logistic_regression,ADBE,lr,12,FS_12,0.4619,0.3832,0.4619,0.4188,"44    2    78
39    0    40
73    1    156"
random_forest,ADBE,rf,12,FS_12,0.3223,0.4026,0.3223,0.3193,"59    12    38
63    5    7
128    19    63"
xgboost,ADBE,xgb,12,FS_12,0.3173,0.3891,0.3173,0.3049,"62    11    36
64    2    9
141    8    61"
logistic_regression,TSLA,lr,12,FS_12,0.3372,0.4816,0.3372,0.3633,"59    20    48
4    7    8
132    75    80"
random_forest,TSLA,rf,12,FS_12,0.3629,0.5,0.3629,0.3434,"78    0    27
7    0    12
205    0    65"
xgboost,TSLA,xgb,12,FS_12,0.3528,0.5015,0.3528,0.3195,"84    0    21
7    0    12
215    0    55"
logistic_regression,AMD,lr,12,FS_12,0.2794,0.5358,0.2794,0.2783,"63    68    15
9    25    0
98    122    33"
random_forest,AMD,rf,12,FS_12,0.4695,0.451,0.4695,0.4579,"47    0    89
15    1    14
84    7    137"
xgboost,AMD,xgb,12,FS_12,0.4543,0.4244,0.4543,0.4388,"42    1    93
14    0    16
86    5    137"
logistic_regression,NVDA,lr,12,FS_12,0.5335,0.5063,0.5335,0.5193,"59    1    76
20    0    18
76    11    172"
random_forest,NVDA,rf,12,FS_12,0.3553,0.5472,0.3553,0.2884,"102    2    9
33    0    4
206    0    38"
xgboost,NVDA,xgb,12,FS_12,0.3731,0.5719,0.3731,0.3295,"96    1    16
34    1    2
193    1    50"
logistic_regression,QQQ,lr,12,FS_12,0.351,0.4359,0.351,0.3464,"58    20    23
60    65    19
139    20    29"
random_forest,QQQ,rf,12,FS_12,0.3477,0.4618,0.3477,0.3354,"45    30    11
52    67    10
122    32    25"
xgboost,QQQ,xgb,12,FS_12,0.3452,0.4984,0.3452,0.3474,"46    29    11
66    56    7
113    32    34"
logistic_regression,MSFT,lr,13,FS_13,0.4388,0.4405,0.4388,0.4374,"30    36    48
22    48    42
39    56    112"
random_forest,MSFT,rf,13,FS_13,0.4036,0.4522,0.4036,0.3712,"83    0    18
46    15    43
111    17    61"
xgboost,MSFT,xgb,13,FS_13,0.3883,0.4197,0.3883,0.3767,"68    14    19
39    26    39
95    35    59"
logistic_regression,AAPL,lr,13,FS_13,0.3395,0.4871,0.3395,0.333,"61    20    25
34    33    6
158    43    53"
random_forest,AAPL,rf,13,FS_13,0.2716,0.5726,0.2716,0.1933,"81    0    5
56    1    14
212    0    25"
xgboost,AAPL,xgb,13,FS_13,0.2995,0.5821,0.2995,0.249,"75    0    11
51    1    19
195    0    42"
logistic_regression,GOOG,lr,13,FS_13,0.3995,0.3343,0.3995,0.3425,"24    14    82
17    5    88
51    8    144"
random_forest,GOOG,rf,13,FS_13,0.3071,0.3483,0.3071,0.2392,"84    0    15
97    0    10
151    0    37"
xgboost,GOOG,xgb,13,FS_13,0.335,0.3763,0.335,0.2858,"77    2    20
85    1    21
130    4    54"
logistic_regression,META,lr,13,FS_13,0.3533,0.4885,0.3533,0.2592,"125    0    11
70    1    4
193    2    27"
random_forest,META,rf,13,FS_13,0.3909,0.3921,0.3909,0.339,"96    0    24
44    0    23
147    2    58"
xgboost,META,xgb,13,FS_13,0.4036,0.4583,0.4036,0.367,"93    4    23
43    3    21
140    4    63"
logistic_regression,ORCL,lr,13,FS_13,0.3926,0.382,0.3926,0.3704,"15    37    65
28    58    80
29    24    97"
random_forest,ORCL,rf,13,FS_13,0.3299,0.4623,0.3299,0.3149,"70    21    13
105    26    15
108    2    34"
xgboost,ORCL,xgb,13,FS_13,0.3503,0.4126,0.3503,0.3398,"65    26    13
97    26    23
77    20    47"
logistic_regression,ADBE,lr,13,FS_13,0.5104,0.4551,0.5104,0.4512,"7    23    94
1    38    40
16    38    176"
random_forest,ADBE,rf,13,FS_13,0.368,0.4293,0.368,0.3396,"77    3    29
70    0    5
141    1    68"
xgboost,ADBE,xgb,13,FS_13,0.3832,0.4302,0.3832,0.3576,"75    2    32
69    0    6
133    1    76"
logistic_regression,TSLA,lr,13,FS_13,0.3603,0.4718,0.3603,0.3799,"64    9    54
9    0    10
159    36    92"
random_forest,TSLA,rf,13,FS_13,0.3426,0.5228,0.3426,0.3006,"87    0    18
12    0    7
222    0    48"
xgboost,TSLA,xgb,13,FS_13,0.302,0.5054,0.302,0.2288,"91    0    14
17    0    2
242    0    28"
logistic_regression,AMD,lr,13,FS_13,0.4111,0.486,0.4111,0.3615,"121    2    23
23    0    11
196    0    57"
random_forest,AMD,rf,13,FS_13,0.4594,0.4824,0.4594,0.4584,"66    1    69
15    3    12
112    4    112"
xgboost,AMD,xgb,13,FS_13,0.434,0.4512,0.434,0.4217,"81    1    54
17    0    13
136    2    90"
logistic_regression,NVDA,lr,13,FS_13,0.4226,0.4899,0.4226,0.4079,"92    0    44
34    0    4
168    0    91"
random_forest,NVDA,rf,13,FS_13,0.3274,0.5755,0.3274,0.2184,"110    0    3
35    0    2
225    0    19"
xgboost,NVDA,xgb,13,FS_13,0.3401,0.5821,0.3401,0.2408,"110    0    3
34    0    3
220    0    24"
logistic_regression,QQQ,lr,13,FS_13,0.3072,0.4839,0.3072,0.2769,"79    2    20
98    35    11
162    7    19"
random_forest,QQQ,rf,13,FS_13,0.3401,0.6157,0.3401,0.3191,"69    10    7
85    44    0
148    10    21"
xgboost,QQQ,xgb,13,FS_13,0.3147,0.6281,0.3147,0.2762,"77    2    7
103    26    0
150    8    21"
