Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
logistic_regression,ADBE,lr,2,FS_2,0.4065,0.4695,0.4065,0.4075,"24    48    52
8    51    20
29    100    101"
random_forest,ADBE,rf,2,FS_2,0.4391,0.4782,0.4391,0.442,"32    30    47
12    48    15
48    69    93"
xgboost,ADBE,xgb,2,FS_2,0.3985,0.4763,0.3985,0.4091,"35    37    37
25    44    6
72    60    78"
logistic_regression,TSLA,lr,2,FS_2,0.4296,0.5591,0.4296,0.4469,"6    51    70
0    15    4
12    110    165"
random_forest,TSLA,rf,2,FS_2,0.5254,0.5214,0.5254,0.5229,"29    0    76
7    0    12
87    5    178"
xgboost,TSLA,xgb,2,FS_2,0.5228,0.5627,0.5228,0.5365,"43    1    61
14    0    5
96    11    163"
logistic_regression,AMD,lr,2,FS_2,0.5035,0.5047,0.5035,0.4975,"60    0    86
22    3    9
92    6    155"
random_forest,AMD,rf,2,FS_2,0.533,0.5398,0.533,0.5355,"65    10    61
12    5    13
75    13    140"
xgboost,AMD,xgb,2,FS_2,0.4289,0.4633,0.4289,0.4404,"58    16    62
7    7    16
100    24    104"
logistic_regression,NVDA,lr,2,FS_2,0.2425,0.4057,0.2425,0.2674,"22    77    37
1    24    13
72    128    59"
random_forest,NVDA,rf,2,FS_2,0.3553,0.4162,0.3553,0.3756,"33    18    62
8    10    19
103    44    97"
xgboost,NVDA,xgb,2,FS_2,0.3629,0.4672,0.3629,0.3907,"40    28    45
13    12    12
102    51    91"
logistic_regression,QQQ,lr,2,FS_2,0.448,0.4793,0.448,0.4118,"22    53    26
12    121    11
25    112    51"
random_forest,QQQ,rf,2,FS_2,0.4239,0.5147,0.4239,0.4169,"54    19    13
44    71    14
96    41    42"
xgboost,QQQ,xgb,2,FS_2,0.4188,0.4933,0.4188,0.4161,"49    18    19
43    71    15
91    43    45"
logistic_regression,MSFT,lr,3,FS_3,0.3741,0.4591,0.3741,0.3688,"66    27    21
57    44    11
76    79    52"
random_forest,MSFT,rf,3,FS_3,0.3858,0.4396,0.3858,0.3819,"58    18    25
42    42    20
91    46    52"
xgboost,MSFT,xgb,3,FS_3,0.368,0.4336,0.368,0.3635,"53    28    20
39    46    19
99    44    46"
logistic_regression,AAPL,lr,3,FS_3,0.2587,0.5017,0.2587,0.2197,"18    80    8
1    66    6
38    188    28"
random_forest,AAPL,rf,3,FS_3,0.2741,0.4405,0.2741,0.2658,"52    16    18
47    15    9
134    62    41"
xgboost,AAPL,xgb,3,FS_3,0.2817,0.47,0.2817,0.2693,"57    17    12
48    13    10
144    52    41"
logistic_regression,GOOG,lr,3,FS_3,0.358,0.3945,0.358,0.3443,"22    60    38
22    75    13
61    84    58"
random_forest,GOOG,rf,3,FS_3,0.3959,0.4625,0.3959,0.3986,"28    51    20
26    63    18
41    82    65"
xgboost,GOOG,xgb,3,FS_3,0.3934,0.4424,0.3934,0.4022,"35    41    23
32    49    26
49    68    71"
logistic_regression,META,lr,3,FS_3,0.3164,0.3523,0.3164,0.3228,"37    35    64
21    31    23
73    80    69"
random_forest,META,rf,3,FS_3,0.3959,0.4489,0.3959,0.4078,"38    42    40
17    33    17
77    45    85"
xgboost,META,xgb,3,FS_3,0.4137,0.4635,0.4137,0.4249,"43    38    39
16    33    18
75    45    87"
logistic_regression,ORCL,lr,3,FS_3,0.388,0.3936,0.388,0.3898,"38    44    35
61    60    45
37    43    70"
random_forest,ORCL,rf,3,FS_3,0.3299,0.3309,0.3299,0.3291,"24    40    40
53    41    52
38    41    65"
xgboost,ORCL,xgb,3,FS_3,0.3452,0.3482,0.3452,0.3464,"28    34    42
49    52    45
36    52    56"
logistic_regression,ADBE,lr,3,FS_3,0.4134,0.4657,0.4134,0.4138,"24    46    54
10    50    19
32    93    105"
random_forest,ADBE,rf,3,FS_3,0.4442,0.4928,0.4442,0.4501,"31    33    45
16    47    12
40    73    97"
xgboost,ADBE,xgb,3,FS_3,0.4112,0.4558,0.4112,0.4237,"37    26    46
27    32    16
58    59    93"
logistic_regression,TSLA,lr,3,FS_3,0.4965,0.586,0.4965,0.4949,"6    50    71
0    15    4
11    82    194"
random_forest,TSLA,rf,3,FS_3,0.6193,0.5881,0.6193,0.6003,"27    4    74
3    3    13
52    4    214"
xgboost,TSLA,xgb,3,FS_3,0.5609,0.5771,0.5609,0.5675,"37    6    62
5    3    11
85    4    181"
logistic_regression,AMD,lr,3,FS_3,0.4688,0.4845,0.4688,0.4681,"68    1    77
19    3    12
114    7    132"
random_forest,AMD,rf,3,FS_3,0.4746,0.4813,0.4746,0.4691,"59    1    76
14    2    14
99    3    126"
xgboost,AMD,xgb,3,FS_3,0.4264,0.4651,0.4264,0.4333,"68    11    57
14    4    12
116    16    96"
logistic_regression,NVDA,lr,3,FS_3,0.291,0.4334,0.291,0.3201,"31    65    40
3    21    14
92    93    74"
random_forest,NVDA,rf,3,FS_3,0.3934,0.4499,0.3934,0.4157,"32    22    59
11    7    19
88    40    116"
xgboost,NVDA,xgb,3,FS_3,0.3782,0.4503,0.3782,0.4041,"34    28    51
10    7    20
101    35    108"
logistic_regression,QQQ,lr,3,FS_3,0.4411,0.4764,0.4411,0.4049,"28    50    23
16    119    9
35    109    44"
random_forest,QQQ,rf,3,FS_3,0.4264,0.4807,0.4264,0.4208,"45    24    17
34    75    20
78    53    48"
xgboost,QQQ,xgb,3,FS_3,0.4112,0.4422,0.4112,0.3968,"42    23    21
27    80    22
80    59    40"
logistic_regression,MSFT,lr,4,FS_4,0.3718,0.48,0.3718,0.3662,"69    31    14
60    41    11
86    70    51"
random_forest,MSFT,rf,4,FS_4,0.3832,0.4329,0.3832,0.3856,"51    20    30
39    43    22
92    40    57"
xgboost,MSFT,xgb,4,FS_4,0.4239,0.4576,0.4239,0.4236,"59    17    25
33    40    31
78    43    68"
logistic_regression,AAPL,lr,4,FS_4,0.2818,0.6406,0.2818,0.2305,"31    74    1
2    69    2
53    179    22"
random_forest,AAPL,rf,4,FS_4,0.3401,0.5043,0.3401,0.3378,"55    14    17
36    25    10
130    53    54"
xgboost,AAPL,xgb,4,FS_4,0.3579,0.4941,0.3579,0.3646,"53    12    21
34    22    15
127    44    66"
logistic_regression,GOOG,lr,4,FS_4,0.3926,0.4277,0.3926,0.3723,"19    63    38
13    83    14
38    97    68"
random_forest,GOOG,rf,4,FS_4,0.3756,0.4455,0.3756,0.3785,"27    48    24
33    61    13
49    79    60"
xgboost,GOOG,xgb,4,FS_4,0.3706,0.4076,0.3706,0.3761,"24    44    31
29    52    26
51    67    70"
logistic_regression,META,lr,4,FS_4,0.3441,0.3998,0.3441,0.3459,"22    59    55
9    42    24
40    97    85"
