Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
vol_adjusted_momentum,ORCL,,,,9.49,0.34,0.5,0.27,-35.25,0.3182,37.5,8,-0.0854,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,1,FS_1,2.72,0.07,0.1,0.08,-32.9,0.1905,28.3,106,-0.0725,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,2,FS_2,4.87,0.18,0.28,0.15,-31.71,0.2286,25.31,162,-0.0726,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,3,FS_3,17.26,0.66,1.11,0.52,-33.43,0.2362,29.49,156,-0.0501,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,4,FS_4,8.47,0.34,0.51,0.28,-30.28,0.2126,29.59,98,-0.0639,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,5,FS_5,-0.43,-0.8,-1.11,-0.06,-7.63,0.0446,25,12,-0.0713,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,6,FS_6,17.95,0.68,1.09,0.52,-34.39,0.2388,28,100,-0.049,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,7,FS_7,12.05,0.42,0.69,0.33,-36.74,0.293,31.82,132,-0.0697,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,8,FS_8,2.94,0.12,0.16,0.07,-39.56,0.2589,29.46,112,-0.0815,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,9,FS_9,32.74,0.9,1.4,0.79,-41.5,0.3405,30.65,62,-0.0314,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,10,FS_10,1.51,0.05,0.07,0.04,-41.65,0.2445,28.57,154,-0.0818,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,11,FS_11,0.99,-0.13,-0.23,0.06,-17.95,0.1184,28.75,80,-0.071,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,12,FS_12,15.02,0.51,0.89,0.42,-35.67,0.2891,24.44,90,-0.0621,Open Strategy Plot,Open Portfolio Plot
xgboost,ORCL,xgb,13,FS_13,0.92,-0.1,-0.15,0.05,-20.41,0.1404,26.25,80,-0.0722,Open Strategy Plot,Open Portfolio Plot
