Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,CAGR (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Volatility,Win Rate (%),Number of Trades,Information Ratio,Strategy Plot Link,Portfolio Value Plot Link
xgboost,META,xgb,1,FS_1,-11.42,-0.26,-0.33,-0.15,-77.59,0.348,25.31,162,-0.0952,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,2,FS_2,0.34,0.08,0.11,0.01,-63.96,0.3313,29.33,208,-0.0621,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,3,FS_3,-2.55,-0.01,-0.02,-0.04,-71.05,0.3242,26.92,182,-0.0672,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,4,FS_4,-12.59,-0.28,-0.35,-0.17,-75.23,0.361,24.79,238,-0.1046,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,5,FS_5,19.43,0.78,1.54,0.95,-20.39,0.2166,27.63,152,-0.023,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,6,FS_6,19.2,0.69,1.18,0.68,-28.32,0.2514,29,100,-0.0234,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,7,FS_7,17.62,0.53,0.68,0.23,-75.61,0.4177,33.11,148,-0.0433,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,8,FS_8,-12.44,-0.33,-0.4,-0.16,-76.3,0.3319,22,100,-0.0922,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,9,FS_9,5.71,0.26,0.32,0.07,-77.29,0.381,28.64,206,-0.0615,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,10,FS_10,17.32,0.58,0.79,0.31,-55.52,0.3009,30.62,160,-0.0265,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,11,FS_11,10.1,0.4,0.7,0.35,-28.47,0.2217,23.66,262,-0.0366,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,12,FS_12,15.97,0.49,0.64,0.21,-74.42,0.4107,30.77,104,-0.0445,Open Strategy Plot,Open Portfolio Plot
xgboost,META,xgb,13,FS_13,6.85,0.27,0.37,0.15,-47.22,0.2682,29,100,-0.0432,Open Strategy Plot,Open Portfolio Plot
