Date,Close,High,Low,Open,Volume
2023-01-03,260.4321594238281,266.0153635672389,258.1181200303959,264.5383209821343,42335300
2023-01-04,261.6728820800781,263.3567324392603,258.51201903209693,262.5591317640736,47754900
2023-01-05,257.5765380859375,260.1662910779035,257.2614584837007,259.9989097346075,45396700
2023-01-06,264.68609619140625,265.80866330673047,256.35558200335515,259.31952460209857,54659700
2023-01-09,266.3994445800781,271.0767467231556,265.78893837159,266.684984548234,45568700
2023-01-10,268.6543884277344,268.7627205301277,264.8534792351909,265.36550994051134,35247800
2023-01-11,273.3021545410156,273.4104866447528,268.9399617968565,269.7277360269452,44077000
2023-01-12,274.7791442871094,275.8130921297157,269.5504159260835,273.8633850940502,60600000
2023-01-13,276.66986083984375,276.91603468370414,271.93347848801113,272.26827130959913,44802900
2023-01-17,277.2311096191406,278.521057995019,275.3010852891503,276.4728750428893,36269700
2023-01-18,273.6271057128906,280.3328775896966,273.4203281359948,278.7770423526374,47754500
2023-01-19,270.9388427734375,273.1347235999336,269.6981474183331,271.9924737115214,44150400
2023-01-20,278.3536376953125,278.6884304641926,271.4903108069865,272.55379847332415,60613600
2023-01-23,284.53753662109375,285.76840570779797,278.40290432528946,279.2005050894326,52799900
2023-01-24,283.9565124511719,285.11844542133616,282.3908508963555,282.9127380812943,44875100
2023-01-25,283.32635498046875,283.94668770148434,276.87658352068604,279.4269404310126,50872000
2023-01-26,288.85052490234375,289.02776284986896,284.1042861929452,286.7629756078907,51596300
2023-01-27,291.7258605957031,293.6952513401812,287.41289005721325,287.53104869379905,56441900
2023-01-30,285.8274230957031,289.8745354022516,285.45326421683865,288.44671555080447,49405800
2023-01-31,290.11090087890625,290.2093764109989,285.75856483523495,285.86686688517756,46705100
2023-02-01,296.3144836425781,298.7860480837953,287.82638603864535,289.9041084726575,67562200
2023-02-02,306.9491882324219,308.8791824057915,302.03556881200916,302.8627091720247,83070600
2023-02-03,301.4939880371094,307.6089672490816,299.8791034340715,300.27297552867725,76170800
2023-02-06,298.9436340332031,301.2281342764644,297.5946063185878,298.86487163366627,40802300
