Date,Close,High,Low,Open,Volume
2021-01-04,209.2731475830078,214.3778372347253,206.50449638120156,213.92600833251893,37130100
2021-01-05,209.4750213623047,210.0710594090714,207.36008597617078,208.85976716508725,23823000
2021-01-06,204.0435333251953,208.11960259324445,203.74552155992959,203.9666246972524,35930700
2021-01-07,209.84994506835938,210.8593503984707,205.44704085761094,205.76426870218953,27694500
2021-01-08,211.12852478027344,212.0514134324191,208.6386690377971,210.2248669478522,22956200
2021-01-11,209.08090209960938,210.4459970034863,208.35027759554967,210.02300695772928,23031300
2021-01-12,206.61985778808594,208.70596899227266,205.072121521782,208.12916175268282,23249300
2021-01-13,207.97537231445312,208.37913156857348,205.65854964000155,205.74508100567118,20087100
2021-01-14,204.7837677001953,209.05210123842153,204.51459483461537,207.56202773114762,29480800
2021-01-15,204.42800903320312,206.21609383211361,203.8319856565053,205.2643809782016,31746500
2021-01-19,208.07147216796875,208.59058691911966,204.4087860099995,205.4854771494631,30480900
2021-01-20,215.66598510742188,217.05991853592388,208.88856744678478,209.28271849042343,37777300
2021-01-21,216.2716827392578,217.55026091629355,213.82027389362747,216.01211800602644,30709400
2021-01-22,217.21377563476562,221.17448827697592,217.06958116245943,218.30008955552947,30172700
2021-01-25,220.65536499023438,220.89569889665592,215.55067516485178,220.26121386318684,33152100
2021-01-26,223.34706115722656,225.12552289303767,221.18405644994306,222.89523233375553,49169600
2021-01-27,223.89508056640625,231.1435600205835,221.2417992926183,228.79789854562574,69870600
2021-01-28,229.69195556640625,233.25851783734305,226.00042961631425,226.5003283393955,49111200
2021-01-29,222.99142456054688,228.8171162716666,222.40500922536845,226.8656060692636,42503100
2021-02-01,230.3841094970703,233.12392228631361,223.44326412188565,225.97158186998217,33314200
2021-02-02,230.24948120117188,232.94122377899794,229.4611936474812,231.97028011673513,25916300
2021-02-03,233.6045379638672,235.61372573695,230.00913773665354,230.30716407808396,27158100
2021-02-04,232.65284729003906,233.8353007616422,231.0762573300535,233.27772429583018,25296100
2021-02-05,232.8354949951172,233.8737392729773,231.1243186859083,232.8643338915451,18054800
2021-02-08,233.09503173828125,234.25823953802782,231.4992112064339,233.74873287056587,22211900
2021-02-09,234.3448028564453,235.29651579174603,232.04721116764924,232.518256262877,23565000
2021-02-10,233.43153381347656,236.4116655813092,231.57614834749486,235.52723852750492,22186700
2021-02-11,235.03697204589844,235.67144246357017,232.78743534550657,235.3157529463643,15751100
2021-02-12,235.51763916015625,235.81565088107706,233.34501108331926,234.49861099316243,16561100
2021-02-16,234.2775115966797,236.61356501974242,233.52767090997287,235.55608986217183,26728500
2021-02-17,235.2988739013672,235.40486497453526,232.15770663695596,232.5238602901919,21653500
2021-02-18,234.90377807617188,235.0386744478953,232.08058447417395,232.98632355686053,16925600
2021-02-19,232.1865997314453,234.97125810430992,231.4253871453351,234.86526703672254,25262600
2021-02-22,225.9620819091797,229.2574208051001,223.92899103069783,228.7660156487048,36446900
2021-02-23,224.76727294921875,226.27040833152452,220.3927484877867,221.9344340967485,30228700
2021-02-24,226.00059509277344,226.62689654449298,220.65289108022142,221.62607102742007,26339700
2021-02-25,220.6432342529297,226.03910333947002,219.57369357947002,223.62059907002538,39542200
2021-02-26,223.90972900390625,226.79073377641603,221.17323613180574,223.0907057132155,37819200
2021-03-01,228.30348205566406,228.81416225129144,224.6516202387032,227.30138207369913,25324000
2021-03-02,225.3453826904297,228.65036608626744,224.94069354651947,228.37092841617996,22812500
2021-03-03,219.2654266357422,225.06600151406744,218.97635870710167,223.69776233461502,34029500
2021-03-04,218.4656524658203,224.01570898842058,216.08568317000322,218.47529737394672,44727800
2021-03-05,223.15814208984375,224.7672685097658,218.20549664982508,221.15395671882018,41872800
2021-03-08,219.10159301757812,224.8636168253928,218.85107535727434,222.9365171850772,35267400
