Date,Close,High,Low,Open,Volume
2021-01-04,267.2922058105469,273.3150737362507,263.5751305135248,273.0964204640378,15106100
2021-01-05,269.3097839355469,270.73101513017787,266.56668458767825,266.64621141751144,9871600
2021-01-06,261.6967468261719,266.1095462093693,258.41697743650474,260.3947753757414,24354100
2021-01-07,267.0934143066406,269.9458248995876,263.1576858077317,264.2708186897992,15789800
2021-01-08,265.9306640625,267.3022139554263,261.5675460793679,266.66612053759235,18528300
2021-01-11,255.26632690429688,261.85570946902254,254.33208389728804,258.8840390302622,30412300
2021-01-12,249.55160522460935,258.12873534931555,248.76645211000337,255.05767096003143,26383500
2021-01-13,250.09820556640625,252.39404981083615,247.67315297678024,250.0087606344853,19528900
2021-01-14,244.1349639892578,253.46743088612743,243.11127600880903,251.8474130374199,29739400
2021-01-15,249.8199462890625,252.30462907155027,245.64568224754308,246.38113864536732,24942900
2021-01-19,259.50030517578125,260.5935717896639,251.1716426953896,255.32602549753983,28028500
2021-01-20,265.8411865234375,268.6637824751988,261.9849540597102,267.2822843136615,25199900
2021-01-21,271.1981201171875,271.9236583247579,265.8510785349372,267.61025315301697,20838700
2021-01-22,272.8181457519531,276.76382288005954,270.33346318590617,270.34341162196165,21954000
2021-01-25,276.3066711425781,278.38386228871553,269.84649597140043,276.4358794988977,19087000
2021-01-26,280.3218688964844,283.6414314237365,276.1078570615494,276.43585213829687,19373600
2021-01-27,270.4726257324219,281.7133274743246,266.47723666948883,280.7989509250698,35346200
2021-01-28,263.3763427734375,285.0328437529223,263.0781930081968,275.48170853175645,37758800
2021-01-29,256.7472229003906,264.92680937897524,253.2885639465676,263.67451957536355,30389500
2021-02-01,260.4046630859375,262.55143231204124,253.34815902737895,257.9298987989953,22914300
2021-02-02,265.443603515625,267.2027782433836,261.65694958352583,262.3824878363312,17320800
2021-02-03,265.0162658691406,267.5506605664134,262.22348478110126,263.99257775143155,14223400
2021-02-04,264.857177734375,266.516958812303,262.3824439348702,265.3740110506752,16060000
2021-02-05,266.4573974609375,267.5208490103022,264.0422929868712,265.1653441681594,12454400
2021-02-08,264.9466857910156,268.2065884459274,263.37637959024386,267.10340382972845,13755200
2021-02-09,267.7991027832031,271.7149649875868,264.12176040264853,264.8075352267552,14613400
2021-02-10,270.2042541503906,272.1224218071429,266.0796871673924,270.7807174893779,14687200
2021-02-11,268.7333679199219,271.9037952738126,266.84498472431835,270.2241776023874,12828600
2021-02-12,268.8426208496094,269.5184471457852,266.6958517347619,268.862487388699,9097600
2021-02-16,272.2914428710937,274.905334250107,268.3954465665495,269.14085146943444,15417200
2021-02-17,271.89385986328125,272.2914030205178,267.9282857354953,269.57811865209567,12763200
2021-02-18,267.739501953125,270.28381478607685,264.4000724032498,267.9183918404572,15249100
2021-02-19,259.9574584960937,268.6140851336497,258.5560937159537,268.2065935027777,25622600
2021-02-22,258.7349548339844,261.45818758498353,255.95212245770577,256.3695624794466,17434900
2021-02-23,264.2310791015625,265.82128207528933,253.39788389990903,257.91006095251214,21924600
2021-02-24,262.6905822753906,264.7479067592774,256.8068708301413,260.7227027259426,15736100
2021-02-25,253.1295318603516,265.3044768348905,252.48350527272703,260.6928912817655,19053100
2021-02-26,256.0415344238281,263.92293932701955,254.8985866425429,254.8985866425429,26619500
2021-03-01,263.2868957519531,265.0162250378023,256.31983643041696,259.22195888828685,22157300
2021-03-02,257.41314697265625,265.07590050000744,257.0652853025188,264.15160574582063,15191700
2021-03-03,253.8451232910156,259.3909216508671,253.53702506716823,258.6952287033984,15513500
2021-03-04,256.0614929199219,264.8572460327769,251.94684352030976,254.8986479889789,31626500
2021-03-05,262.6607666015625,263.8236114073833,254.04388913823584,259.0728994748729,26820100
2021-03-08,253.7457427978516,263.9528087792841,253.4873412472217,263.9229937990307,18391800
2021-03-09,264.1118469238281,266.8847615652514,258.2181862953919,259.57978768763206,22039700
2021-03-10,263.2769775390625,267.3220483264212,261.25941636376814,266.99408354961366,14210300
2021-03-11,272.2019348144531,276.19729324860583,266.1790670219471,266.4672683462111,21834000
2021-03-12,266.7555236816406,268.08730994458426,262.40235481870315,267.4910103720713,20600200
2021-03-15,272.07281494140625,274.2692664342996,266.8549801343108,267.4314133008661,16844800
2021-03-16,277.5688781738281,280.4113710119352,273.1163157665065,274.38847212136983,22437700
